Data da colheita,Zona de produção,Produtoras de DSP
03/06/2015,L5,40
03/06/2015,L5,100
03/06/2015,L2,20
03/06/2015,L1,20
02/06/2015,OLH4,20
03/06/2015,L8,20
03/06/2015,OLH1,20
03/06/2015,OLH2,20
03/06/2015,OLH3,20
03/06/2015,FAR2,20
03/06/2015,FAR1,20
04/06/2015,EMR,160
08/06/2015,LAL,440
08/06/2015,ETJ,60
08/06/2015,L5,120
08/06/2015,TAV2,1300
08/06/2015,FAR1,20
08/06/2015,OLH5,20
08/06/2015,L8,20
08/06/2015,L9,60
08/06/2015,VT1,60
08/06/2015,L8,20
08/06/2015,FAR2,20
08/06/2015,L1,20
08/06/2015,L1,20
08/06/2015,ELM,20
08/06/2015,L2,20
08/06/2015,RIAV1,20
08/06/2015,RIAV2,20
08/06/2015,RIAV3,20
08/06/2015,RIAV4,20
08/06/2015,L3,20
08/06/2015,RIAV1,20
09/06/2015,L5,20
09/06/2015,LOB,20
08/06/2015,L6,40
08/06/2015,ESD1,20
08/06/2015,L6,40
08/06/2015,ESD2,20
08/06/2015,ESD1,60
11/06/2015,L5,720
09/06/2015,EMN2,20
09/06/2015,L8,960
11/06/2015,L7c,20
11/06/2015,L7a,20
11/06/2015,LAG,20
11/06/2015,POR2,100
09/06/2015,FUZ1,280
08/06/2015,OLH4,20
09/06/2015,OLH1,40
09/06/2015,OLH2,300
09/06/2015,OLH3,20
11/06/2015,L7c,60
12/06/2015,L6,200
15/06/2015,LAL,1920
15/06/2015,L8,20
15/06/2015,FUZ1,20
15/06/2015,TAV2,20
15/06/2015,L9,20
15/06/2015,VT1,20
15/06/2015,RIAV1,20
15/06/2015,RIAV1,240
15/06/2015,L3,20
15/06/2015,RIAV4,20
15/06/2015,RIAV3,20
15/06/2015,RIAV2,20
16/06/2015,ETJ,20
16/06/2015,L5,20
16/06/2015,LOB,20
16/06/2015,L6,140
16/06/2015,ESD1,20
16/06/2015,L6,60
16/06/2015,ESD1,20
16/06/2015,ESD2,20
15/06/2015,L2,20
15/06/2015,L1,20
16/06/2015,EMI,240
16/06/2015,EMI,120
16/06/2015,ELM,160
16/06/2015,L1,20
16/06/2015,EMN2,120
17/06/2015,L3,320
17/06/2015,L5,20
17/06/2015,ETJ,20
17/06/2015,L5,20
15/06/2015,L8,60
17/06/2015,POR2,17920
15/06/2015,FAR2,2272
17/06/2015,L7c,2638
17/06/2015,L7a,7260
17/06/2015,L7c,5764
17/06/2015,LAG,20
18/06/2015,FAR1,20
17/06/2015,OLH4,90376
17/06/2015,OLH5,6821
