Espécie,Zona de produção,Capitania,Data da colheita,Toxinas Lipofílicas
Lambujinha,ESD1,Setúbal,14/02/2018,25.3
Mexilhão,L2,Douro,12/02/2018,25.3
Mexilhão,ETJ,Lisboa,15/02/2018,25.3
Mexilhão,L5b,Lisboa,15/02/2018,29.0
Mexilhão,L7c,Lagos,14/02/2018,25.3
Berbigão,RIAV3,Aveiro,14/02/2018,25.3
Conquilha,L9,VRSA,14/02/2018,25.3
Berbigão,RIAV2,Aveiro,14/02/2018,25.3
Conquilha,L8,Olhão,14/02/2018,25.3
A. Boa,FUZ1,Olhão,14/02/2018,25.3
Mexilhão,RIAV2,Aveiro,14/02/2018,25.3
Berbigão,RIAV1,Aveiro,14/02/2018,25.3
A. Boa,OLH1,Olhão,14/02/2018,25.3
Berbigão,EMN1,Fig. Foz,14/02/2018,25.3
Mexilhão,POR2,Portimão,14/02/2018,25.3
Mexilhão,LAG,Lagos,14/02/2018,25.3
Mexilhão,OLH2,Olhão,14/02/2018,25.3
Mexilhão,RIAV1,Aveiro,14/02/2018,25.3
Ostra-gigante,L7b,Lagos-Portimão,14/02/2018,25.3
Ostra-gigante,POR3,Portimão,14/02/2018,25.3
Mexilhão,TAV2,Tavira,15/02/2018,25.3
Mexilhão,L7c,Lagos,14/02/2018,25.3
Ostra-gigante,GUA,GUA,15/02/2018,25.3
Ostra-gigante,VT1,Tavira-VRSA,15/02/2018,25.3
Berbigão,OLH5,Olhão,16/02/2018,25.3
Mexilhão,LAL,Setúbal,19/02/2018,25.3
Mexilhão,EMR,Sines,19/02/2018,25.3
A. Boa,FUZ1,Olhão,19/02/2018,25.3
Mexilhão,RIAV4,Aveiro,19/02/2018,25.3
A. Boa,OLH1,Olhão,19/02/2018,25.3
Berbigão,RIAV2,Aveiro,19/02/2018,25.3
A. Branca,L3,Aveiro,19/02/2018,25.3
Mexilhão,OLH2,Olhão,19/02/2018,25.3
Mexilhão,L3,Aveiro,19/02/2018,21.0
Mexilhão,RIAV2,Aveiro,19/02/2018,25.3
Mexilhão,RIAV1,Aveiro,19/02/2018,25.3
Mexilhão,LOB,Peniche,20/02/2018,25.3
Berbigão,LOB,Peniche,20/02/2018,25.3
Ostra-gigante,VT1,Tavira-VRSA,19/02/2018,25.3
A. Japonesa,ESD2,Setúbal,20/02/2018,25.3
Ostra-gigante,FAR2,Faro,19/02/2018,25.3
Ostra-gigante,GUA,GUA,19/02/2018,25.3
Mexilhão,L6,Setúbal,20/02/2018,25.3
Conquilha,L6,Setúbal,20/02/2018,24.0
A. Branca,L2,Douro,19/02/2018,25.3
Mexilhão,L2,Douro,19/02/2018,25.3
Mexilhão,L1,Caminha,20/02/2018,25.3
Mexilhão,ETJ,Lisboa,21/02/2018,25.3
Mexilhão,L5b,Lisboa,21/02/2018,20.0
