N.ºamostra,Data da colheita,Zona de produção,DSP
925,21/05/2015,L5,20
926,21/05/2015,L1,20
927,25/05/2015,LAL,420
928,25/05/2015,ETJ,20
929,25/05/2015,L5,20
930,25/05/2015,FUZ1,220
931,25/05/2015,L8,820
932,25/05/2015,TAV2,20
933,25/05/2015,OLH2,620
934,25/05/2015,OLH3,20
935,25/05/2015,OLH4,20
936,25/05/2015,OLH5,20
937,25/05/2015,L8,12020
938,25/05/2015,L9,420
939,25/05/2015,VT1,20
940,25/05/2015,OLH1,20
941,25/05/2015,RIAV1,20
942,25/05/2015,RIAV1/L3,20
943,25/05/2015,RIAV2,20
944,25/05/2015,RIAV3,20
945,25/05/2015,RIAV4,20
946,25/05/2015,L3,20
947,26/05/2015,L5,20
948,26/05/2015,LOB,20
949,26/05/2015,ESD1,20
950,26/05/2015,ESD1,20
951,26/05/2015,L6,20
952,26/05/2015,L6,220
953,26/05/2015,LAG,20
